Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wikipedia Search,Chrome 126.0.0.0,,,27-06-2024 14:12:45,27-06-2024 14:13:57,1m - 12.615s,PASSED
,,,,,,,
Test Cases/Wikipedia/Search Wikipedia,Chrome 126.0.0.0,,,27-06-2024 14:12:45,27-06-2024 14:13:57,1m - 11.940s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,27-06-2024 14:12:46,27-06-2024 14:13:44,58.357s,PASSED
delay(3),Chrome 126.0.0.0,,,27-06-2024 14:13:44,27-06-2024 14:13:47,3.068s,PASSED
"setText(findTestObject(""Wikipedia/Search box wikipedia""), ""bob marley"")",Chrome 126.0.0.0,,,27-06-2024 14:13:47,27-06-2024 14:13:48,1.030s,PASSED
delay(3),Chrome 126.0.0.0,,,27-06-2024 14:13:48,27-06-2024 14:13:51,3.006s,PASSED
"click(findTestObject(""Wikipedia/button search wikipedia""))",Chrome 126.0.0.0,,,27-06-2024 14:13:51,27-06-2024 14:13:54,2.940s,PASSED
delay(3),Chrome 126.0.0.0,,,27-06-2024 14:13:54,27-06-2024 14:13:57,3.008s,PASSED
